YEAROCC,Violence,Property,Homicide,Assaults,Robbery,Shootings,Burglary,MV Theft,Rape,Weapons,Drugs,Sex,y,x
2009.0,1.0,,,,1.0,,,,,,,,37.781785,-122.204982
2009.0,1.0,,,,1.0,,,,,,,,37.829515,-122.264784
2009.0,1.0,,,,1.0,,,,,,,,37.848955,-122.265735
2009.0,,1.0,,,,,,,,,,,37.799717,-122.27254199999999
2009.0,,1.0,,,,,1.0,,,,,,37.82947,-122.244064
2009.0,1.0,,,,1.0,,,,,,,,37.785965999999995,-122.19621599999999
2009.0,,1.0,,,,,1.0,,,,,,37.794723,-122.255876
2009.0,,1.0,,,,,,1.0,,,,,37.800045000000004,-122.23121299999998
2009.0,,,,,,,,,,,1.0,,37.837742999999996,-122.27133400000001
2009.0,,,,,,,,,,,1.0,,37.765352,-122.198632
2009.0,,,,,,,,,,1.0,,,37.792033,-122.233246
2009.0,1.0,,,,1.0,,,,,,,,37.785965999999995,-122.19621599999999
2009.0,1.0,,,,1.0,,,,,,,,37.800107000000004,-122.271501
2009.0,1.0,,,1.0,,1.0,,,,,,,37.751465,-122.165989
2009.0,,1.0,,,,,,,,,,,37.760703,-122.17341
2009.0,,1.0,,,,,1.0,,,,,,37.796422,-122.187514
2009.0,,1.0,,,,,,,,,,,37.800053999999996,-122.248902
2009.0,,1.0,,,,,1.0,,,,,,37.791261,-122.21935400000001
2009.0,,1.0,,,,,1.0,,,,,,37.794071,-122.21556499999998
2009.0,,1.0,,,,,1.0,,,,,,37.800305,-122.21393400000001
2009.0,,1.0,,,,,1.0,,,,,,37.805366,-122.23030800000001
2009.0,,1.0,,,,,1.0,,,,,,37.794723,-122.255876
2009.0,,1.0,,,,,1.0,,,,,,37.735392,-122.18590400000001
2009.0,,1.0,,,,,1.0,,,,,,37.774735,-122.20043799999999
2009.0,,1.0,,,,,,,,,,,37.842236,-122.252475
2009.0,,1.0,,,,,1.0,,,,,,37.768817999999996,-122.199665
2009.0,,1.0,,,,,1.0,,,,,,37.774651,-122.18026100000002
2009.0,,1.0,,,,,,,,,,,37.738258,-122.18248700000001
2009.0,,1.0,,,,,,,,,,,37.801080999999996,-122.26727199999999
2009.0,,1.0,,,,,,,,,,,37.776598,-122.21635800000001
2009.0,,1.0,,,,,,,,,,,37.757282000000004,-122.19749099999999
2009.0,,1.0,,,,,,,,,,,37.754118,-122.118485
2009.0,,1.0,,,,,,,,,,,37.810876,-122.25646299999998
2009.0,,1.0,,,,,,,,,,,37.813458000000004,-122.246305
2009.0,,1.0,,,,,,,,,,,37.806893,-122.27552
2009.0,,1.0,,,,,,,,,,,37.78071,-122.242782
2009.0,,1.0,,,,,,,,,,,37.805341,-122.26428899999999
2009.0,,1.0,,,,,,,,,,,37.782806,-122.192457
2009.0,,1.0,,,,,,,,,,,37.795604,-122.256827
2009.0,,1.0,,,,,,,,,,,37.786891,-122.243917
2009.0,,1.0,,,,,,,,,,,37.787958,-122.20995800000001
2009.0,,1.0,,,,,,,,,,,37.74945,-122.185231
2009.0,,1.0,,,,,,,,,,,37.782806,-122.192457
2009.0,1.0,,,,1.0,,,,,,,,37.800327,-122.21508999999999
2009.0,,1.0,,,,,,1.0,,,,,37.807253,-122.293582
2009.0,,1.0,,,,,,1.0,,,,,37.767863,-122.206128
2009.0,,1.0,,,,,,1.0,,,,,37.760703,-122.17341
2009.0,,1.0,,,,,,,,,,,37.778402,-122.17526699999999
2009.0,,1.0,,,,,,1.0,,,,,37.729354,-122.148601
2009.0,,,,,,,,,,1.0,,,,
2009.0,,,,,,,,,,1.0,,,,
2009.0,1.0,,,1.0,,,,,,,,,,
2009.0,,1.0,,,,,1.0,,,,,,37.7517,-122.171
2009.0,1.0,,,1.0,,,,,,,,,,
2009.0,1.0,,,1.0,,,,,,,,,,
2009.0,1.0,,,1.0,,,,,,,,,,
2009.0,1.0,,,1.0,,,,,,,,,,
2009.0,,,,,,,,,,,1.0,,,
2009.0,,,,,,,,,,1.0,,,,
2009.0,1.0,,,1.0,,,,,,,,,,
2009.0,,1.0,,,,,,,,,,,37.774547999999996,-122.211642
2009.0,,,,,,,,,,,1.0,,37.795732,-122.239508
2009.0,,,,,,,,,,,1.0,,37.746769,-122.169271
2009.0,,,,,,,,,,,1.0,,37.819657,-122.27096499999999
2009.0,,,,,,,,,,,1.0,,37.812936,-122.260598
2009.0,,,,,,,,,,,1.0,,37.808836,-122.290833
2009.0,,,,,,,,,,,1.0,,37.764237,-122.16565800000001
2009.0,,,,,,,,,,,1.0,,37.796486,-122.17325100000001
2009.0,,,,,,,,,,,1.0,,37.815425,-122.274758
2009.0,,,,,,,,,,,1.0,,37.815425,-122.274758
2009.0,,,,,,,,,,1.0,,,37.815425,-122.274758
2009.0,,,,,,,,,,,1.0,,37.763827,-122.21568300000001
2009.0,,1.0,,,,,,1.0,,,,,37.760871,-122.184624
2009.0,,1.0,,,,,,1.0,,,,,37.738917,-122.16012099999999
2009.0,,1.0,,,,,,,,,,,37.795365999999994,-122.273478
2009.0,,1.0,,,,,1.0,,,,,,37.841733000000005,-122.271868
2009.0,,1.0,,,,,1.0,,,,,,37.816564,-122.27180200000001
2009.0,,1.0,,,,,,1.0,,,,,37.765157,-122.193858
2009.0,,1.0,,,,,1.0,,,,,,37.778177,-122.206235
2009.0,,1.0,,,,,,1.0,,,,,37.771478,-122.198397
2009.0,,1.0,,,,,1.0,,,,,,37.797612,-122.20402
2009.0,,1.0,,,,,,1.0,,,,,37.787605,-122.21949199999999
2009.0,,1.0,,,,,1.0,,,,,,37.8212,-122.274957
2009.0,,1.0,,,,,,,,,,,37.836933,-122.254267
2009.0,,1.0,,,,,,1.0,,,,,37.791208000000005,-122.19152199999999
2009.0,,1.0,,,,,,1.0,,,,,37.787354,-122.22887800000001
2009.0,,1.0,,,,,,1.0,,,,,37.786895,-122.22931799999999
2009.0,,1.0,,,,,,,,,,,37.754015,-122.204006
2009.0,,1.0,,,,,1.0,,,,,,37.841205,-122.271922
2009.0,,1.0,,,,,,1.0,,,,,37.760871,-122.197166
2009.0,1.0,,,,1.0,,,,,,,,37.829727,-122.264668
2009.0,,1.0,,,,,1.0,,,,,,37.746495,-122.205671
